segregant,batch,OD_covariate
A02_48-BYxRM_eQTL_06,6,0.188
A02_49-BYxRM_eQTL_12,12,0.231
A02_50-BYxRM_eQTL_10,10,0.182
A02_51-BYxRM_eQTL_09,9,0.197
A02_52-BYxRM_eQTL_04,4,0.226
A02_53-BYxRM_eQTL_10,10,0.22
A02_55-BYxRM_eQTL_06,6,0.161
A02_56-BYxRM_eQTL_09,9,0.237
A02_57-BYxRM_eQTL_08,8,0.269
A02_58-BYxRM_eQTL_02,2,0.142
A02_59-BYxRM_eQTL_12,12,0.322
A02_60-BYxRM_eQTL_12,12,0.274
A02_61-BYxRM_eQTL_03,3,0.252
A02_62-BYxRM_eQTL_12,12,0.217
A02_63-BYxRM_eQTL_07,7,0.212
A02_64-BYxRM_eQTL_11,11,0.247
A02_66-BYxRM_eQTL_05,5,0.099
A02_68-BYxRM_eQTL_03,3,0.224
A02_69-BYxRM_eQTL_12,12,0.178
A02_70-BYxRM_eQTL_06,6,0.191
A02_71-BYxRM_eQTL_12,12,0.282
A02_72-BYxRM_eQTL_04,4,0.264
A02_73-BYxRM_eQTL_02,2,0.126
A02_74-BYxRM_eQTL_01,1,0.253
A02_75-BYxRM_eQTL_11,11,0.271
A02_76-BYxRM_eQTL_03,3,0.178
A02_78-BYxRM_eQTL_02,2,0.205
A02_79-BYxRM_eQTL_05,5,0.113
A02_80-BYxRM_eQTL_03,3,0.192
A02_81-BYxRM_eQTL_08,8,0.305
A02_82-BYxRM_eQTL_08,8,0.309
A02_83-BYxRM_eQTL_02,2,0.142
A02_84-BYxRM_eQTL_09,9,0.257
A02_85-BYxRM_eQTL_10,10,0.18
A02_86-BYxRM_eQTL_10,10,0.297
A02_87-BYxRM_eQTL_13,13,0.016
A02_88-BYxRM_eQTL_08,8,0.149
A02_89-BYxRM_eQTL_13,13,0.22
A02_90-BYxRM_eQTL_12,12,0.295
A02_91-BYxRM_eQTL_08,8,0.217
A02_92-BYxRM_eQTL_01,1,0.321
A02_93-BYxRM_eQTL_10,10,0.27
A02_94-BYxRM_eQTL_12,12,0.217
A02_95-BYxRM_eQTL_13,13,0.274
A02_96-BYxRM_eQTL_08,8,0.276
A03_01-BYxRM_eQTL_06,6,0.126
A03_02-BYxRM_eQTL_08,8,0.27
A03_03-BYxRM_eQTL_06,6,0.138
A03_04-BYxRM_eQTL_04,4,0.275
A03_05-BYxRM_eQTL_03,3,0.18
A03_06-BYxRM_eQTL_09,9,0.271
A03_07-BYxRM_eQTL_02,2,0.211
A03_08-BYxRM_eQTL_13,13,0.219
A03_09-BYxRM_eQTL_01,1,0.251
A03_10-BYxRM_eQTL_08,8,0.268
A03_11-BYxRM_eQTL_03,3,0.227
A03_12-BYxRM_eQTL_12,12,0.245
A03_13-BYxRM_eQTL_02,2,0.185
A03_14-BYxRM_eQTL_02,2,0.185
A03_15-BYxRM_eQTL_06,6,0.214
A03_16-BYxRM_eQTL_06,6,0.146
A03_17-BYxRM_eQTL_04,4,0.245
A03_18-BYxRM_eQTL_04,4,0.261
A03_19-BYxRM_eQTL_11,11,0.241
